client_id,nom,email,ville,region,segment,date_inscription,ca_historique,actif
CLI0001,Client_1,client1@email.fr,Toulouse,Auvergne-RA,Startup,2021-02-01,129.67,True
CLI0002,Client_2,client2@email.fr,Lyon,Nouvelle-Aquitaine,Particulier,2022-08-11,42431.54,False
CLI0003,Client_3,client3@email.fr,Nantes,Occitanie,PME,2023-11-17,6895.77,True
CLI0004,Client_4,client4@email.fr,Nantes,PACA,Particulier,2023-10-20,11034.84,True
CLI0005,Client_5,client5@email.fr,Paris,Île-de-France,Particulier,2022-12-29,2331.35,False
CLI0006,Client_6,client6@email.fr,Nice,Auvergne-RA,PME,2023-02-23,48589.71,True
CLI0007,Client_7,client7@email.fr,Lyon,Nouvelle-Aquitaine,Particulier,2021-04-20,7874.12,True
CLI0008,Client_8,client8@email.fr,Lille,Nouvelle-Aquitaine,PME,2022-04-03,6661.1,True
CLI0009,Client_9,client9@email.fr,Nantes,Auvergne-RA,Grand Compte,2021-11-02,173.27,False
CLI0010,Client_10,client10@email.fr,Toulouse,Nouvelle-Aquitaine,Particulier,2023-11-26,7322.01,True
CLI0011,Client_11,client11@email.fr,Paris,Occitanie,Particulier,2023-07-06,2524.0,False
CLI0012,Client_12,client12@email.fr,Nice,Nouvelle-Aquitaine,Particulier,2021-11-28,12893.31,False
CLI0013,Client_13,client13@email.fr,Toulouse,Île-de-France,PME,2021-05-16,39799.97,False
CLI0014,Client_14,client14@email.fr,Marseille,Occitanie,Startup,2022-06-01,317.7,False
CLI0015,Client_15,client15@email.fr,Lille,Auvergne-RA,Grand Compte,2022-03-08,2669.33,True
CLI0016,Client_16,client16@email.fr,Paris,PACA,Particulier,2020-03-03,1952.11,True
CLI0017,Client_17,client17@email.fr,Paris,Occitanie,Grand Compte,2020-04-14,272.7,False
CLI0018,Client_18,client18@email.fr,Paris,Occitanie,Startup,2022-02-09,1213.1,True
CLI0019,Client_19,client19@email.fr,Toulouse,Occitanie,Particulier,2020-03-23,1863.97,True
CLI0020,Client_20,client20@email.fr,Bordeaux,Île-de-France,Particulier,2020-02-03,270.78,False
CLI0021,Client_21,client21@email.fr,Strasbourg,Auvergne-RA,Particulier,2021-03-13,3541.45,False
CLI0022,Client_22,client22@email.fr,Toulouse,PACA,Particulier,2021-09-15,30543.11,True
CLI0023,Client_23,,Toulouse,Occitanie,Particulier,2020-03-15,1555.46,False
CLI0024,Client_24,client24@email.fr,Lyon,Auvergne-RA,Particulier,2023-09-20,1783.86,True
CLI0025,Client_25,client25@email.fr,Lyon,Nouvelle-Aquitaine,Particulier,2022-09-10,2008.49,True
CLI0026,Client_26,client26@email.fr,Toulouse,Occitanie,PME,2020-07-02,6648.95,True
CLI0027,Client_27,client27@email.fr,Bordeaux,Occitanie,Startup,2020-02-22,532.68,True
CLI0028,Client_28,client28@email.fr,Marseille,Île-de-France,Particulier,2022-04-27,1207.87,True
CLI0029,Client_29,client29@email.fr,Montpellier,Nouvelle-Aquitaine,PME,2020-10-07,2713.46,True
CLI0030,Client_30,client30@email.fr,Nice,PACA,Grand Compte,2022-10-25,12490.37,True
CLI0031,Client_31,client31@email.fr,Nantes,Occitanie,Particulier,2021-10-06,346.84,True
CLI0032,Client_32,client32@email.fr,Nice,Occitanie,PME,2022-03-04,2236.57,True
CLI0033,Client_33,client33@email.fr,Nantes,PACA,Startup,2020-12-02,10689.65,True
CLI0034,Client_34,client34@email.fr,Bordeaux,Auvergne-RA,Particulier,2020-03-18,1175.51,False
CLI0035,Client_35,client35@email.fr,Nice,PACA,PME,2022-10-27,10941.01,True
CLI0036,Client_36,client36@email.fr,Lyon,Auvergne-RA,PME,2022-11-04,6042.39,False
CLI0037,Client_37,client37@email.fr,Toulouse,Nouvelle-Aquitaine,Grand Compte,2023-07-20,1130.19,False
CLI0038,Client_38,client38@email.fr,Bordeaux,Île-de-France,Particulier,2020-03-07,588.56,True
CLI0039,Client_39,client39@email.fr,Bordeaux,Auvergne-RA,Particulier,2023-10-24,146.74,True
CLI0040,Client_40,client40@email.fr,Nice,Auvergne-RA,PME,2020-11-10,14782.28,True
CLI0041,Client_41,client41@email.fr,Lille,Île-de-France,Grand Compte,2020-10-03,1499.42,False
CLI0042,Client_42,client42@email.fr,Montpellier,Île-de-France,Grand Compte,2020-08-30,1165.62,True
CLI0043,Client_43,client43@email.fr,Bordeaux,Auvergne-RA,Particulier,2020-03-15,4255.58,True
CLI0044,Client_44,client44@email.fr,Nantes,PACA,Particulier,2020-07-12,4493.41,True
CLI0045,Client_45,client45@email.fr,Nice,PACA,Particulier,2020-11-21,7792.16,False
CLI0046,Client_46,client46@email.fr,Nice,Occitanie,Particulier,2022-04-24,878.16,True
CLI0047,Client_47,client47@email.fr,Nantes,Auvergne-RA,Particulier,2020-09-17,13486.43,True
CLI0048,Client_48,client48@email.fr,Lille,Île-de-France,PME,2022-06-29,1254.71,False
CLI0049,Client_49,client49@email.fr,Marseille,Île-de-France,Particulier,2020-08-23,8316.05,True
CLI0050,Client_50,client50@email.fr,Marseille,PACA,Startup,2023-09-05,2399.98,True
CLI0051,Client_51,client51@email.fr,Montpellier,PACA,Particulier,2020-09-26,6465.19,True
CLI0052,Client_52,client52@email.fr,Nice,Nouvelle-Aquitaine,PME,2022-12-01,6082.92,True
CLI0053,Client_53,client53@email.fr,Montpellier,PACA,Particulier,2022-11-12,59699.22,True
CLI0054,Client_54,client54@email.fr,Strasbourg,Auvergne-RA,Particulier,2020-04-13,278.86,True
CLI0055,Client_55,client55@email.fr,Nantes,PACA,Particulier,2021-07-07,4952.98,True
CLI0056,Client_56,client56@email.fr,Strasbourg,PACA,Particulier,2021-07-03,1598.9,True
CLI0057,Client_57,client57@email.fr,Toulouse,PACA,Particulier,2023-07-01,8006.89,True
CLI0058,Client_58,client58@email.fr,Paris,Occitanie,PME,2020-08-15,762.24,True
CLI0059,Client_59,client59@email.fr,Montpellier,Occitanie,Particulier,2023-03-26,9278.76,True
CLI0060,Client_60,,Marseille,PACA,Particulier,2022-03-04,747.51,True
CLI0061,Client_61,client61@email.fr,Bordeaux,PACA,Startup,2022-05-21,206.83,True
CLI0062,Client_62,client62@email.fr,Nice,Occitanie,PME,2023-05-18,28115.22,True
CLI0063,Client_63,client63@email.fr,Montpellier,Nouvelle-Aquitaine,Particulier,2022-09-30,43184.87,False
CLI0064,Client_64,,Nice,Île-de-France,Particulier,2023-11-02,7225.79,True
CLI0065,Client_65,client65@email.fr,Montpellier,Île-de-France,Startup,2023-12-01,1819.09,True
CLI0066,Client_66,client66@email.fr,Nantes,Île-de-France,PME,2021-07-20,1472.3,True
CLI0067,Client_67,client67@email.fr,Toulouse,Île-de-France,Particulier,2020-07-20,653.17,True
CLI0068,Client_68,client68@email.fr,Nantes,Auvergne-RA,Particulier,2021-04-19,249.07,True
CLI0069,Client_69,client69@email.fr,Marseille,Île-de-France,Particulier,2021-12-10,1014.9,True
CLI0070,Client_70,,Toulouse,Île-de-France,PME,2023-01-12,11600.82,True
CLI0071,Client_71,client71@email.fr,Nantes,Nouvelle-Aquitaine,Particulier,2023-10-15,141497.84,True
CLI0072,Client_72,client72@email.fr,Marseille,PACA,Particulier,2023-09-03,3257.87,False
CLI0073,Client_73,client73@email.fr,Paris,Occitanie,PME,2023-03-13,1023.24,True
CLI0074,Client_74,client74@email.fr,Lyon,Auvergne-RA,Particulier,2023-02-10,3496.95,True
CLI0075,Client_75,client75@email.fr,Marseille,Nouvelle-Aquitaine,PME,2022-07-13,3514.31,True
CLI0076,Client_76,client76@email.fr,Lyon,Nouvelle-Aquitaine,Particulier,2020-02-24,2262.21,False
CLI0077,Client_77,client77@email.fr,Strasbourg,Occitanie,Particulier,2020-11-08,1036.18,True
CLI0078,Client_78,client78@email.fr,Montpellier,Île-de-France,Particulier,2021-08-01,999.77,True
CLI0079,Client_79,client79@email.fr,Montpellier,Auvergne-RA,Particulier,2023-01-16,8659.74,True
CLI0080,Client_80,client80@email.fr,Bordeaux,Occitanie,PME,2022-06-28,5804.54,True
CLI0081,Client_81,client81@email.fr,Lyon,Auvergne-RA,Grand Compte,2020-05-30,4892.6,True
CLI0082,Client_82,client82@email.fr,Toulouse,Nouvelle-Aquitaine,PME,2022-10-19,10993.01,True
CLI0083,Client_83,client83@email.fr,Strasbourg,Nouvelle-Aquitaine,Particulier,2022-03-15,19342.15,True
CLI0084,Client_84,client84@email.fr,Marseille,Nouvelle-Aquitaine,Startup,2023-10-19,115.03,False
CLI0085,Client_85,client85@email.fr,Montpellier,PACA,Particulier,2020-05-07,2706.9,True
CLI0086,Client_86,client86@email.fr,Montpellier,Auvergne-RA,Particulier,2023-10-14,397.8,True
CLI0087,Client_87,client87@email.fr,Bordeaux,Auvergne-RA,Particulier,2023-02-06,15592.38,True
CLI0088,Client_88,client88@email.fr,Toulouse,Auvergne-RA,Particulier,2022-07-22,16766.5,True
CLI0089,Client_89,client89@email.fr,Lille,Auvergne-RA,Particulier,2020-12-07,4376.68,False
